City	Population Density (Persons/Square Mile)	2016 Population	Land Area (Square Miles)
Paramount, California	11,609	54,909	5
Commerce City, Colorado	1,600	54,869	34
Huntersville, North Carolina	1,384	54,839	40
Euless, Texas	3,379	54,769	16
Pocatello, Idaho	1,699	54,746	32
Carson City, Nevada	378	54,742	145
Colton, California	3,571	54,712	15
Casa Grande, Arizona	497	54,534	110
West Haven, Connecticut	5,071	54,516	11
Rosemead, California	10,562	54,500	5
Blue Springs, Missouri	2,444	54,431	22
Hoboken, New Jersey	42,484	54,379	1
Normal, Illinois	2,957	54,264	18
Bonita Springs, Florida	1,404	54,198	39
Mount Prospect, Illinois	5,239	54,171	10
Cathedral City, California	2,514	54,056	22
Watsonville, California	8,041	53,796	7
Pensacola, Florida	2,386	53,779	23
Palm Beach Gardens, Florida	976	53,778	55
Lake Havasu City, Arizona	1,210	53,743	44
Elyria, Ohio	2,611	53,715	21
Bellevue, Nebraska	3,376	53,505	16
Wheaton, Illinois	4,746	53,389	11
West New York, New Jersey	52,815	53,343	1
Yucaipa, California	1,911	53,309	28
Southaven, Mississippi	1,290	53,214	41
Albany, Oregon	3,034	53,211	18
Revere, Massachusetts	9,342	53,157	6
Caldwell, Idaho	2,409	53,149	22
Harrisonburg, Virginia	3,047	53,078	17
West Sacramento, California	2,472	52,981	21
Lenexa, Kansas	1,551	52,903	34
Kingsport, Tennessee	1,060	52,806	50
Burlington, North Carolina	2,094	52,709	25
Delano, California	3,686	52,707	14
Leesburg, Virginia	4,246	52,607	12
DeSoto, Texas	2,433	52,599	22
Milford, Connecticut	2,399	52,536	22
Perth Amboy, New Jersey	11,170	52,499	5
Peabody, Massachusetts	3,238	52,491	16
Minnetonka, Minnesota	1,945	52,369	27
Palm Desert, California	1,948	52,231	27
Placentia, California	7,949	52,228	7
Elkhart, Indiana	2,227	52,221	23
Joplin, Missouri	1,468	52,195	36
Pinellas Park, Florida	3,362	52,137	16
La Crosse, Wisconsin	2,539	52,109	21
Grapevine, Texas	1,628	51,971	32
Apple Valley, Minnesota	3,082	51,957	17
Tigard, Oregon	4,395	51,902	12
Glendora, California	2,674	51,851	19
Florissant, Missouri	4,122	51,776	13
Oak Park, Illinois	11,016	51,774	5
Hoffman Estates, Illinois	2,487	51,738	21
Kentwood, Michigan	2,473	51,689	21
Battle Creek, Michigan	1,209	51,534	43
Grand Island, Nebraska	1,813	51,517	28
Aliso Viejo, California	6,884	51,424	7
Edina, Minnesota	3,324	51,350	15
Olympia, Washington	2,873	51,202	18
Parker, Colorado	2,498	51,163	20
Enid, Oklahoma	692	51,004	74
Burien, Washington	6,873	50,997	7
Coral Gables, Florida	3,933	50,815	13
Logan, Utah	2,825	50,676	18
Plainfield, New Jersey	8,411	50,636	6
Cerritos, California	5,791	50,555	9
Galveston, Texas	1,226	50,550	41
Coeur d'Alene, Idaho	3,230	50,285	16
Lakewood, Ohio	9,092	50,279	6
Poway, California	1,281	50,077	39
